gx,gy,gz,time,ang
-279,74,18,510937983,0.3584680492234018
-353,75,16,510947170,0.37802304555389904
-350,75,10,510947722,0.3791808509549405
-356,72,8,510948808,0.38156756400416786
-330,89,20,510956899,0.39594249480476673
-333,88,17,510957434,0.3969241089153405
-341,95,21,510958506,0.39897023655932795
-307,52,29,510966124,0.41237221761686316
-309,46,23,510966681,0.41338328548005776
-315,43,22,510967216,0.4144074773739356
-263,33,7,510972975,0.42152783687124884
-182,44,14,510982146,0.42226861904076524
-174,45,8,510982702,0.4222428628659928
-167,46,2,510983236,0.422156321507661
-164,50,-4,510983890,0.42199707418881627
-135,64,-6,510988442,0.4186623951566996
-134,61,0,510988978,0.41828175949292085
-129,59,9,510996812,0.412497815255829
-131,59,6,510997347,0.41211520616273045
-130,59,5,510997885,0.4117221131691451
-125,63,1,510998435,0.4112629467081599
-131,84,12,511003425,0.4069272435418084
-129,85,9,511003982,0.40642088109639624
-131,72,13,511011827,0.40030684463439015
-136,66,11,511012362,0.3999465196285137
-138,59,18,511012899,0.39963601315810543
-193,58,16,511019982,0.4007355102112872
-321,29,1,511032626,0.4262502645614811
-320,19,5,511033161,0.42736715466556313
-313,9,3,511033719,0.4285150559440795
-311,5,2,511034254,0.42961457931993724
-276,9,8,511040980,0.4402164776946605
-210,45,13,511048770,0.44380692864845545
-208,51,14,511049305,0.44401878769178504
-202,54,20,511049864,0.44419305263521447
-194,58,19,511050399,0.4442865832382095
-165,92,18,511056432,0.44158126690193683
-165,96,14,511056969,0.4413203974775095
-156,104,16,511066193,0.4353033547503769
-159,104,12,511066797,0.43492808290418183
-163,88,8,511067890,0.43441340807294576
-124,93,9,511076161,0.4259747010681248
-127,91,5,511076717,0.4254313046207041
-128,94,2,511077803,0.4243522326843507
-147,144,10,511086149,0.4155969926738793
-151,151,8,511086697,0.4150270510033654
-154,157,5,511087232,0.41446643534690397
-151,158,8,511087791,0.4138608826549619
-161,125,16,511093422,0.4099062774477133
-158,115,16,511093977,0.40953216614545374
-188,46,14,511101822,0.41083838298052955
-185,44,13,511102357,0.41091194626849675
-185,38,17,511102895,0.4110145224565498
-187,37,18,511103455,0.4111420620869682
-206,47,20,511109441,0.41368297163968926
-205,43,24,511109977,0.4139254383427886
-262,49,12,511119176,0.4243293401673619
-263,46,15,511119800,0.425062534573639
-258,39,32,511120896,0.42639290948680764
-254,9,10,511129169,0.43696393895326596
-251,2,6,511129718,0.43766184357139687
-245,2,5,511130253,0.43829749557930997
-244,7,3,511130813,0.4389331886913113
-188,28,0,511139166,0.44096932168799374
-170,69,0,511145828,0.439185990291141
-169,65,-5,511146363,0.43904080597766704
-162,62,-5,511146925,0.4388477389526636
-155,64,-4,511147460,0.4386091752625519
-145,47,-18,511153450,0.4355533243447131
-149,39,-13,511153986,0.435348588479792
