gx,gy,gz,time,ang
-186,77,-1,2945763430,[109.47122063 109.47122063 109.47122063]
-201,63,-11,2945764528,[109.47122064 109.47122064 109.47122064]
-195,56,-14,2945772578,[109.47122069 109.4712207  109.47122068]
-194,54,-19,2945773134,[109.4712207  109.47122071 109.47122069]
-192,53,-17,2945773685,[109.4712207  109.47122073 109.47122069]
-184,48,1,2945778870,[109.47122074 109.47122093 109.47122072]
-186,51,-3,2945779421,[109.47122074 109.47122096 109.47122072]
-183,53,-4,2945780519,[109.47122074 109.47122102 109.47122073]
-179,86,-3,2945788599,[109.47122075 109.47122094 109.47122078]
-184,88,-2,2945789194,[109.47122075 109.47122093 109.47122078]
-185,92,-6,2945790386,[109.47122075 109.47122091 109.47122079]
-174,78,-6,2945798602,[109.47122073 109.47122095 109.47122087]
-171,73,-4,2945799158,[109.47122073 109.47122096 109.47122088]
-177,85,-5,2945800253,[109.47122073 109.47122096 109.47122089]
-200,72,-7,2945808632,[109.47122084 109.47122112 109.47122101]
-201,71,-12,2945809182,[109.47122085 109.47122113 109.47122102]
-200,70,-14,2945809717,[109.47122087 109.47122114 109.47122103]
-202,53,-1,2945815442,[109.47122105 109.47122152 109.47122114]
-247,-8,6,2945824604,[109.47122286 109.47122456 109.47122204]
-246,-10,8,2945825158,[109.47122302 109.47122488 109.47122206]
-246,-14,2,2945825693,[109.47122318 109.47122521 109.47122207]
-245,-19,0,2945826283,[109.47122336 109.47122561 109.47122209]
-269,-39,3,2945830899,[109.47122566 109.47122981 109.47122254]
-273,-45,4,2945831435,[109.47122599 109.47123044 109.47122256]
-303,-89,3,2945840636,[109.47123626 109.47124817 109.47122549]
-301,-91,6,2945841216,[109.47123708 109.47124981 109.47122552]
-299,-86,5,2945841776,[109.47123787 109.47125139 109.47122555]
-297,-84,5,2945842333,[109.47123867 109.47125297 109.47122558]
-313,-110,-2,2945846889,[109.47124698 109.47126905 109.47122652]
-321,-109,5,2945847444,[109.47124817 109.47127131 109.47122655]
-334,-117,15,2945852873,[109.4712623  109.47129601 109.47122818]
-338,-119,14,2945853426,[109.47126397 109.47129894 109.47122823]
-325,-123,13,2945854524,[109.47126709 109.471305   109.47122835]
-319,-118,5,2945861932,[109.47128991 109.47134827 109.47123103]
-325,-119,4,2945862496,[109.47129191 109.47135213 109.47123108]
-326,-119,6,2945863059,[109.47129395 109.47135604 109.47123112]
-328,-128,-1,2945867856,[109.47131278 109.47139228 109.47123241]
-310,-123,16,2945869517,[109.47131895 109.47140574 109.47123267]
-317,-118,7,2945877633,[109.47135387 109.47147442 109.47123596]
-315,-109,7,2945878181,[109.47135637 109.4714794  109.47123602]
-323,-104,11,2945878732,[109.47135906 109.47148433 109.47123608]
-325,-106,15,2945879343,[109.47136212 109.4714899  109.47123616]
-309,-98,7,2945884914,[109.47138813 109.47153994 109.47123767]
-303,-91,3,2945885450,[109.47139062 109.47154487 109.47123772]
-253,-9,2,2945894635,[109.4714168  109.47158998 109.47123914]
-238,4,6,2945895210,[109.47141815 109.47159251 109.47123919]
-219,15,13,2945896296,[109.47141987 109.47159661 109.47123932]
-183,75,-14,2945904611,[109.47142063 109.47159923 109.47123941]
-183,81,-16,2945905167,[109.47142068 109.47159921 109.47123942]
-184,80,-14,2945905702,[109.47142075 109.47159923 109.47123943]
-186,77,-16,2945906261,[109.47142087 109.47159934 109.47123943]
-160,103,-11,2945913906,[109.4714143  109.47158934 109.47123968]
-158,109,-14,2945914443,[109.4714138  109.47158846 109.47123969]
-179,92,-13,2945922298,[109.47141324 109.47158326 109.47123989]
-179,90,-10,2945922833,[109.4714132  109.47158297 109.47123991]
-177,85,-8,2945923369,[109.47141312 109.47158283 109.47123993]
-184,75,-3,2945923966,[109.4714132  109.47158301 109.47123997]
-205,41,0,2945929895,[109.4714191  109.47159638 109.47124044]
-212,30,-3,2945930431,[109.47141979 109.47159795 109.47124047]
-260,-41,4,2945939615,[109.47145119 109.471664   109.47124254]
-264,-42,7,2945940171,[109.47145326 109.47166829 109.47124261]
