gx,gy,gz,time,ang
-187,73,-15,2860535559,0.0001796579960937467
-181,73,-16,2860541568,0.001652110908224267
-186,69,-18,2860542105,0.0017626627850628191
-181,63,-8,2860551344,0.0029659142903675365
-182,67,-10,2860551907,0.003054247508814971
-186,73,-15,2860552996,0.0032296143411533005
-183,63,-7,2860561267,0.004215505454911989
-189,64,-7,2860561823,0.004242923119658526
-199,67,-5,2860562358,0.004191954180036941
-206,68,-5,2860562917,0.004091486417770826
-190,80,-10,2860571231,0.0047469624324651
-186,78,-10,2860571787,0.004829633838007208
-203,56,-8,2860581344,0.004157547354918423
-198,57,-10,2860581907,0.004191927749017112
-187,67,-7,2860582995,0.004256497568537958
-183,68,-1,2860591265,0.004326644506908719
-186,67,-1,2860591821,0.0043264531155991414
-190,68,-3,2860592356,0.004320537712469306
-190,68,-6,2860592915,0.004335284352476539
-195,64,-5,2860601230,0.004197385696434418
-196,66,-1,2860601786,0.004155514469746304
-196,59,-1,2860611348,0.003923689172744161
-199,60,1,2860611930,0.003902691512290785
-192,61,-2,2860613000,0.003926846104094449
-179,78,-9,2860621263,0.004491562856915265
-178,83,-10,2860621819,0.004565180618232946
-183,75,-9,2860622354,0.004621335343485671
-186,65,-8,2860622915,0.0046727317916897765
-171,64,-10,2860630649,0.006750472651911297
-171,66,-11,2860631212,0.006913705691204087
-202,69,-8,2860640310,0.006233576038411978
-199,65,-8,2860640935,0.006222334433078505
-192,65,-6,2860641470,0.006230993556618428
-191,68,-5,2860642005,0.006233688997563231
-199,75,1,2860646550,0.005563732030004928
-198,76,1,2860647086,0.005491987359666254
-193,64,-5,2860656330,0.005482046743194023
-194,67,-2,2860656889,0.0054532481743489415
-186,69,-2,2860657985,0.005450026337872222
-193,57,-13,2860666276,0.006639709108154497
-199,60,-14,2860666832,0.006712144698425562
-200,63,-13,2860667367,0.006765686367182043
-192,73,-8,2860667918,0.0067760851178173065
-179,61,0,2860675660,0.007142368038934607
-185,65,-4,2860676224,0.007171449404760349
-189,73,0,2860683942,0.006627796370469954
-185,81,-1,2860684477,0.006594955506718702
-182,84,-1,2860685040,0.0065690853474053386
-183,84,1,2860685603,0.006528994137617792
-177,71,-1,2860691561,0.007020886926798232
-177,71,-8,2860692098,0.007113932208658665
