gx,gy,gz,time,ang
-5843,581,839,3316268616,16.757963309693803
-8306,825,1241,3316277804,17.867302822126284
-8521,853,1243,3316278426,17.944637095994917
-8904,899,1237,3316279538,18.089416439106724
-12176,1425,1008,3316287829,19.585173385719216
-12331,1483,965,3316288386,19.687191249916033
-12617,1596,831,3316289472,19.891026315830914
-13222,2939,925,3316297795,21.53105997003378
-13202,2898,826,3316298343,21.639245161150825
-13176,2840,727,3316298878,21.744733456604557
-13144,2756,603,3316299437,21.854775646271815
-12833,2341,-49,3316305066,22.940520287802237
-12761,2334,-75,3316305623,23.047449145860885
-11676,2315,-423,3316311300,24.045798175533168
-11329,2340,-442,3316312929,24.32394058829819
-9559,2466,-468,3316320795,25.456855019952947
-9449,2476,-470,3316321353,25.536389470568096
-9313,2480,-463,3316321887,25.611406255594147
-9198,2476,-453,3316322447,25.68910122471018
-8371,2506,-368,3316327070,26.272499108087896
-8277,2506,-354,3316327625,26.341794734215537
-7239,2574,-325,3316335428,27.19413464336609
-7196,2563,-317,3316335963,27.252307326460837
-7164,2552,-309,3316336521,27.31271320350711
-7132,2541,-302,3316337056,27.370372729510688
-6920,2196,-184,3316342084,27.894712396853656
-6902,2142,-172,3316342620,27.950472199569305
-6309,1759,-220,3316351803,28.82088008810773
-6255,1774,-236,3316352384,28.875526297705182
-6184,1796,-252,3316352930,28.926311342749027
-6124,1805,-262,3316353476,28.976609951889852
-5466,1907,-309,3316358076,29.35507005388721
-5386,1908,-310,3316358612,29.39854111945259
-4239,1688,-116,3316367783,29.979732337874328
-4182,1666,-95,3316368394,30.01794150168397
-4082,1626,-69,3316369512,30.08610096455455
-3523,1535,200,3316377827,30.520653338692163
-3500,1544,224,3316378382,30.549491983539298
-3464,1554,275,3316379477,30.605784799231643
-3354,1718,456,3316387319,30.997181784508445
-3358,1724,464,3316387854,31.023955450405243
-3363,1734,471,3316388403,31.05148163289373
-3389,1744,473,3316388938,31.078528609297766
-3800,1749,534,3316395093,31.42837433069199
-3845,1743,544,3316395629,31.459229885055795
-4752,1788,600,3316404818,32.11597182725979
-4799,1797,597,3316405433,32.16042093881405
-4921,1820,581,3316406589,32.24617367038342
-5559,1962,364,3316414792,32.93701470881183
-5598,1966,343,3316415346,32.98404132336246
-5671,1959,305,3316416440,33.0781312398529
-6206,2524,405,3316424778,33.87082709330544
-6176,2544,359,3316425333,33.92342064163253
-6146,2548,316,3316425868,33.9738901762084
-6114,2547,267,3316426428,34.026457681507715
-5671,2000,-225,3316432616,34.56106723478075
-4542,1528,-661,3316441797,35.19110519198444
-4482,1478,-667,3316442380,35.23055568077008
-4406,1422,-676,3316442931,35.26715496428073
-4353,1383,-676,3316443493,35.303996898619395
-3953,815,-655,3316449078,35.63069353591739
-3932,764,-644,3316449640,35.66334156867784
-3626,235,-547,3316458779,36.143135763656964
-3601,238,-536,3316459330,36.17186047677624
-3519,247,-527,3316460425,36.227600086725765
-2505,474,-328,3316468829,36.52917380958921
-2441,484,-315,3316469384,36.54856069631231
-2373,493,-304,3316469919,36.56670461249938
-1330,389,-44,3316476623,36.68634557682174
-520,135,119,3316484234,36.72492121199711
-489,128,122,3316484769,36.727374485987916
-462,119,123,3316485332,36.72971651487447
-425,105,123,3316485867,36.73162858350011
-233,-96,158,3316492076,36.733457551995166
-230,-104,155,3316492613,36.73358466430201
-436,-453,125,3316501793,36.758860307639814
-470,-482,123,3316502352,36.76066480092325
-510,-515,122,3316502932,36.76285630047956
-570,-560,126,3316503490,36.76542873644645
-954,-873,83,3316509074,36.82080560374238
-969,-885,79,3316509638,36.82652736328022
-628,-1039,-159,3316518777,36.870517695511445
-556,-1047,-162,3316519328,36.872582953391735
-388,-1072,-166,3316520421,36.87385700265547
1758,-1373,121,3316528824,36.60547026726204
1912,-1380,153,3316529381,36.58638902290236
2107,-1390,192,3316529916,36.566465001567714
4339,-1452,778,3316536620,36.08791143196199
6665,-918,1624,3316544230,35.28062628901673
6806,-654,1688,3316544765,35.22295845748007
6935,-370,1736,3316545328,35.16140253861642
9137,2531,2571,3316551623,34.29036498169532
9281,2795,2851,3316560795,33.01429762219596
9145,2682,2835,3316561341,32.93975646401312
9034,2569,2815,3316561876,32.86755233453088
8912,2444,2791,3316562457,32.790129709868644
7397,265,2236,3316567058,32.2650008806338
7115,-51,2222,3316567615,32.20355920508214
4693,-1759,1467,3316576806,31.498242304936113
4636,-1724,1409,3316577389,31.45411232554719
4572,-1667,1347,3316577951,31.412166533282555
4527,-1614,1304,3316578513,31.37065265867117
4293,-1404,991,3316583080,31.050737154880633
4270,-1399,968,3316583616,31.013399027756318
4007,-1513,607,3316592786,30.4087167602797
4033,-1530,587,3316593398,30.368138973886484
4080,-1563,559,3316594516,30.29315724530827
4504,-1547,685,3316602828,29.683452477731116
4523,-1539,702,3316603387,29.642337169617967
4542,-1516,744,3316604472,29.562292918770556
4402,-1688,854,3316612323,28.99908487383938
4392,-1699,854,3316612858,28.960829389245315
4390,-1707,858,3316613407,28.921591938149458
4389,-1710,863,3316613942,28.883369429174856
4591,-1554,1021,3316620097,28.426979197003728
4673,-1558,1013,3316620633,28.386604233415152
6460,-1993,1324,3316629820,27.44359665120168
6573,-2010,1378,3316630432,27.379863770966242
6724,-2064,1469,3316631592,27.256455910488622
8053,-2564,2016,3316639797,26.219840017439704
8128,-2561,2052,3316640351,26.1494569471137
8270,-2518,2123,3316641446,26.008170113682127
8836,-2238,2303,3316648435,25.051749223037188
8882,-2283,2284,3316648970,24.9783539520688
8975,-2336,2278,3316650065,24.82664400083329
10228,-2415,2443,3316657777,23.616758331825967
10313,-2417,2444,3316658334,23.52899441768617
10425,-2425,2453,3316658869,23.44383628397509
10520,-2437,2468,3316659427,23.354268631188507
11706,-2113,2883,3316665080,22.352000295570434
11846,-2057,2887,3316665616,22.25617594427594
13149,-1751,2857,3316671294,21.132639725202036
13405,-1729,2936,3316672921,20.80603536494578
13789,-2303,2723,3316680809,19.18487233637893
13785,-2359,2696,3316681357,19.07301994446284
13766,-2415,2670,3316681892,18.96405925936298
13722,-2483,2641,3316682453,18.85026735592504
13034,-2790,2494,3316688090,17.771023789934457
12960,-2801,2467,3316688626,17.669658712094023
11608,-2336,1740,3316697808,16.113924062347433
11516,-2293,1695,3316698412,16.013362194038724
11327,-2228,1602,3316699518,15.832286544602216
9431,-2050,1140,3316707810,14.706329707408043
9308,-2046,1113,3316708366,14.632535725490309
9055,-2016,1056,3316709460,14.491431897816609
7356,-1792,624,3316717774,13.620326406245825
7276,-1778,599,3316718331,13.563126212529623
7194,-1766,574,3316718866,13.508831567677277
7107,-1747,545,3316719426,13.452697836694453
6441,-1662,292,3316725076,12.938184342871601
6431,-1660,284,3316725613,12.88968421585931
6605,-1789,206,3316731288,12.367170691724079
6867,-1847,205,3316732918,12.212753876948355
7795,-2105,176,3316740806,11.379841994852447
7852,-2117,181,3316741363,11.321615831918272
7928,-2130,182,3316741898,11.265281928692298
7988,-2136,176,3316742450,11.206834312774012
8505,-2224,167,3316747081,10.690975615120422
8567,-2232,168,3316747617,10.631667906386028
9436,-1912,139,3316756796,9.524746218609415
9493,-1800,113,3316757380,9.455844503808526
9540,-1705,80,3316757933,9.39016459770015
9603,-1566,32,3316758493,9.322903546960518
9885,34,-1157,3316763071,8.693150668048611
9862,296,-1453,3316763607,8.618646022366052
12869,3445,-3085,3316772787,6.7456407331495996
13067,3294,-2928,3316773391,6.623474438679291
13263,2881,-2609,3316774507,6.401147186251898
11958,-456,-908,3316782822,5.241128301552684
11867,-599,-803,3316783377,5.1725666372984715
11698,-910,-553,3316784472,5.047604138217535
10433,-1924,231,3316792359,4.521306517131822
10371,-1896,233,3316792894,4.49708812331894
10292,-1866,236,3316793451,4.473659305731056
10238,-1844,241,3316793986,4.452835824876816
9816,-1594,116,3316799618,4.317405226861827
9490,-1238,-364,3316807388,4.346579881775095
9473,-1223,-422,3316807922,4.35954766718964
9463,-1211,-507,3316808481,4.3741514308319065
9456,-1187,-605,3316809016,4.388966373755295
10342,-22,-1178,3316815071,4.561740783230939
10370,59,-1230,3316815608,4.586198245401841
9438,306,-1735,3316824801,5.0892912852988035
9311,170,-1673,3316825380,5.1320487817090035
8937,-194,-1514,3316826509,5.219939453325296
6103,-1861,-189,3316834801,5.8927743349221675
5975,-1845,-158,3316835358,5.938684756933265
5656,-1799,-100,3316836451,6.025352791491452
3577,-1566,-60,3316843440,6.417661620314025
3425,-1545,-64,3316843975,6.446941222694171
3195,-1529,-81,3316845068,6.5038874767605
2241,-1625,-19,3316852783,6.837075151882164
2231,-1644,-13,3316853340,6.861249046853887
2232,-1670,-10,3316853875,6.884625814540534
2237,-1689,-4,3316854426,6.908855857297467
2491,-1928,111,3316860085,7.18974319572382
2514,-1952,126,3316860621,7.216674204676545
2698,-2007,150,3316866297,7.517294300158029
2700,-1951,134,3316867918,7.6023084440555815
2539,-1511,37,3316875785,7.964806883132881
2511,-1473,43,3316876342,7.990158916389475
2487,-1446,50,3316876876,8.014198442627507
2462,-1420,59,3316877457,8.04006778476873
2113,-1214,147,3316883065,8.2584234822312
2086,-1194,158,3316883621,8.279837311335791
1693,-908,326,3316892809,8.572777396844925
1666,-880,333,3316893434,8.59237844096078
1624,-836,344,3316894524,8.625624136465712
1286,-752,510,3316902816,8.844554712669163
