gx,gy,gz,del_t,ang
-185,67,-6,2739593836,9.706020847944147e-05
-185,67,-2,2739601724,0.000789479832638337
-186,66,-5,2739602259,0.0008234751934727504
-189,63,-7,2739602817,0.0008330538579791875
-191,63,-7,2739603352,0.0008287200416523615
-191,52,-6,2739609476,0.001736454703980468
-202,53,-6,2739610012,0.0018065608262422756
-189,56,0,2739619164,0.0034275157473025644
-195,65,-2,2739619775,0.0034413835440290936
-196,70,0,2739620934,0.0033876675354058672
-167,74,-1,2739629206,0.004533469888116123
-165,71,3,2739629752,0.0047067564683887855
-178,69,-6,2739630846,0.0048611790172197215
-188,73,1,2739639002,0.00502942946026723
-193,77,-3,2739639537,0.0049895028608192594
-200,74,-7,2739640099,0.004891194333284566
-203,48,-15,2739646011,0.004617997489197545
-197,69,-11,2739653624,0.003912879550449293
-191,70,-4,2739654159,0.003893371463604474
-188,71,1,2739654709,0.0038823403725901226
-188,83,-7,2739661008,0.0031018295701657293
-180,78,6,2739670165,0.004319561768179356
-182,81,1,2739670722,0.004402203629196843
-183,80,-7,2739671257,0.004458927828191347
-181,78,-9,2739671884,0.004541151317768407
-210,57,-5,2739676462,0.0032317104297201675
-205,60,-5,2739677017,0.003123149277168292
-182,69,-2,2739684840,0.004140271930754698
-186,63,-4,2739685375,0.004177969755024669
-194,55,-3,2739685910,0.004162524708357736
-185,62,-6,2739693020,0.004764885555024919
-187,81,-2,2739708160,0.005979855486166547
-182,80,4,2739708717,0.006102542779430343
-183,79,5,2739709275,0.006218141491345427
-190,77,4,2739709879,0.0062781932618240655
-187,70,-6,2739715462,0.006587217520741399
-181,72,-13,2739716018,0.006655750155468553
-206,54,6,2739725179,0.004841294684783372
-200,60,3,2739725737,0.004807738815196865
-191,55,-2,2739726831,0.004794632560437315
-179,72,-8,2739735190,0.005827347323728879
-185,71,-6,2739735747,0.005867469922382948
-190,78,-5,2739736282,0.005886704344960632
-172,78,3,2739743008,0.008131777661706323
-207,51,-4,2739752168,0.005783287990604733
-206,54,-6,2739752724,0.005666176336702958
-208,56,-5,2739753259,0.0055478545269000545
-211,54,-3,2739753817,0.005418336807071325
-203,48,2,2739759468,0.005349596602883587
-200,48,0,2739760004,0.005386181523630904
-187,70,-3,2739769166,0.005675154099970863
-186,70,1,2739769774,0.005728846360210111
-188,84,-1,2739770927,0.0057210352116032065
-186,59,-7,2739779199,0.0061886708401851604
-194,66,-1,2739779753,0.006189301661763856
-193,75,-9,2739780839,0.006062573500593664
-208,64,-9,2739789208,0.004574905434313269
-204,58,-2,2739789755,0.004587582180786892
-195,57,-2,2739790289,0.00463686094366985
-187,62,0,2739790849,0.004700982517613486
-185,63,-14,2739796455,0.004651919824610262
-189,67,-6,2739797012,0.004652319064619742
-175,78,-13,2739804814,0.00479472225747686
-179,77,-16,2739805349,0.004819181292710383
-184,75,-11,2739805908,0.004828324204689902
-187,76,-4,2739806475,0.0048272328741858495
-186,66,-11,2739812477,0.005144042546594246
-188,73,-7,2739813014,0.0051435842566792435
-198,70,-1,2739822208,0.004111647656281111
-194,60,0,2739822810,0.004116789223904056
-191,52,3,2739823905,0.0042431433601063905
-202,74,-4,2739832207,0.002664747775917257
-197,77,0,2739832753,0.0026058805328262424
-195,85,3,2739833847,0.0025130716694627695
-188,80,3,2739840714,0.003176704847427673
-189,77,3,2739841249,0.0032416264170894143
-191,71,2,2739841799,0.0032795654021175826
-179,70,-1,2739848018,0.004351488876085094
-193,64,-1,2739856568,0.0042667773400497004
-180,67,-1,2739857132,0.004350723946086842
-178,62,-4,2739857688,0.004424082365864182
-184,57,-4,2739858223,0.004454293807022094
-183,76,-4,2739864008,0.005117842275349374
-192,61,7,2739873191,0.005874864043826779
-185,56,5,2739873747,0.005958535395027813
-185,51,-6,2739874283,0.005971384680221122
-192,47,-7,2739874908,0.00593947075715851
-198,59,0,2739880470,0.005878162545962071
-195,51,-4,2739881007,0.005877304359424535
-208,49,-2,2739890203,0.006236560466164153
-209,60,4,2739890785,0.006314542672559832
-184,77,-3,2739891882,0.006253543621875778
-202,77,-8,2739900198,0.00525017314383794
-198,65,-8,2739900754,0.005238333199146679
-196,59,-2,2739901289,0.005289470822220087
-194,63,4,2739907005,0.006135951153667767
-207,67,-6,2739922180,0.0075559675805169126
-204,67,-3,2739922736,0.007639494835638033
-201,71,2,2739923271,0.007719571274455623
-189,71,3,2739923821,0.00774030133099008
-194,53,-7,2739930800,0.008439478172852708
-186,59,-4,2739931335,0.008449867093235537
-182,68,-3,2739931884,0.00840639718372521
-187,71,-5,2739932419,0.008368995875785292
-207,61,-10,2739939021,0.009549896333668569
-188,67,-1,2739948201,0.009527686998525747
-191,65,-3,2739948749,0.009545399219747876
-192,67,-3,2739949286,0.009560151517486756
-193,65,2,2739949915,0.00961770279258848
-189,76,-6,2739955482,0.009090531155926089
-179,74,-7,2739956019,0.00898491071279109
-189,57,-9,2739965202,0.009290238513772402
-186,57,-10,2739965779,0.009296894560175791
-189,61,-13,2739966864,0.009285142901278309
-184,65,-7,2739975180,0.008804878496208687
-198,66,-9,2739975736,0.00883671809533388
-207,65,-4,2739976271,0.008934778045260553
-197,76,-12,2739982009,0.008593009462138946
-185,65,-6,2739997161,0.007980340240443569
-186,66,-5,2739997717,0.007963221082820127
-189,72,-6,2739998252,0.007923438954392247
-187,80,-8,2739998810,0.007816616620925889
-195,63,-6,2740005758,0.008406402212977806
-193,68,-6,2740006292,0.008411942968537521
-188,67,-7,2740006851,0.008395012261021323
-196,62,-3,2740012006,0.009001273645212601
-196,74,-4,2740027160,0.00891234431014344
-186,73,3,2740027716,0.008868909902959243
-182,70,5,2740028250,0.008819949884664717
-180,69,4,2740028809,0.008759078840211173
-198,47,-12,2740035734,0.010550145309745398
-196,47,-9,2740036269,0.01069050454687051
-193,58,-4,2740036828,0.010760627460493541
-201,60,-7,2740042005,0.011730915273423835
-192,69,-4,2740057137,0.011737380138938769
-184,69,-5,2740057692,0.011685958790126724
-179,69,-5,2740058226,0.011605852890391599
-206,79,6,2740066535,0.012543507597667102
-211,84,6,2740067099,0.012643429553743167
-195,60,-2,2740074821,0.013566707179995608
-200,52,-3,2740075356,0.013696894532469871
-203,54,-3,2740075918,0.013846805279905238
-199,55,-2,2740076486,0.0139668249219736
