gx,gy,gz,time,ang
-197,68,-7,800533375,0.0010208748246511455
-194,71,-8,800533910,0.0010750810507555452
-194,72,-7,800534461,0.0011300712594590734
-196,70,-6,800534996,0.0011820298026893096
-207,65,4,800542762,0.001754745586561048
-210,71,-2,800543297,0.0018829648237038948
-208,71,-13,800543860,0.002033154698693684
-204,67,-18,800544402,0.0021544199369418356
-207,67,-2,800550768,0.0032823509656010838
-186,58,1,800559948,0.0017521232547261817
-192,60,-1,800560507,0.0017163865842224255
-194,69,-4,800561115,0.001741620392562595
-191,67,-9,800561686,0.0017589626918137675
-183,50,3,800567231,0.000537066378340644
-181,55,3,800567767,0.0004988756563621896
-209,70,3,800576972,0.0020698185077490517
-211,75,4,800577527,0.0022332610161946414
-209,76,7,800578620,0.002542267265392038
-216,54,6,800586957,0.004822257762578814
-209,55,0,800587513,0.004925381317196549
-203,53,0,800588048,0.004977165280875786
-208,83,8,800593764,0.0064776019795863855
-197,64,2,800608938,0.006991239972374156
-197,65,4,800609495,0.007020441512062863
-200,64,10,800610030,0.00708491846864615
-200,65,14,800610581,0.007167965854299731
-198,54,3,800618971,0.0072666853333551145
-195,58,-1,800619518,0.007249386953733009
-193,66,-3,800620053,0.007224848911458836
-196,75,-3,800620645,0.007239874467890466
-209,63,2,800626219,0.008307237586029722
-205,62,3,800626776,0.008386076982787444
-201,63,-8,800633177,0.008562709532539481
-199,65,-3,800633741,0.008583759228499941
-189,67,9,800634838,0.008545173862387772
-213,77,4,800642913,0.011133614934132792
-207,78,6,800643471,0.011280230343502423
-198,74,3,800644081,0.011345587098104052
-179,52,11,800649238,0.010255585476962877
-179,50,9,800649774,0.010141670210898119
-197,62,0,800650899,0.010158078292701019
-192,58,-1,800655221,0.009834471692711056
-203,60,2,800656866,0.009992512486054763
-202,46,4,800664960,0.010497434430256683
-199,49,8,800665516,0.010544769005673964
-196,56,7,800666116,0.010574037728574959
-195,61,4,800666669,0.010584510365999668
-199,51,4,800672240,0.010960531930964443
-201,50,5,800672777,0.011019630360955365
-205,77,-4,800681973,0.012003964442888778
-208,76,-3,800682535,0.012103203863360796
-198,71,5,800683622,0.012196910750610052
-206,72,-7,800691967,0.013258627425491193
-195,70,2,800692515,0.01327497487609478
-193,69,8,800693050,0.013292107614274034
-201,52,-2,800698766,0.013418423797368807
-210,75,-7,800713918,0.016798497327488872
-211,69,-2,800714475,0.016932129459364103
-205,57,6,800715010,0.016994339030433205
-196,50,12,800715568,0.016979063383817973
-203,83,6,800723951,0.018988028720097604
-207,82,7,800724506,0.01915724804672393
-206,80,9,800725041,0.019310298882655442
-206,81,9,800725634,0.019484740923287443
-206,68,0,800731231,0.02045093759546955
-206,63,0,800731767,0.020524713724352148
-211,39,13,800739166,0.021380850041374903
-200,37,12,800739730,0.021373765782601275
-190,32,0,800740854,0.021125450238064728
-190,67,-6,800748947,0.020429980060602856
-191,69,-1,800749543,0.02040731156458839
-195,63,5,800750136,0.02041436635446217
-209,51,-9,800755223,0.020888433595717924
-203,45,-10,800755787,0.02088189586392681
-196,29,5,800756969,0.02074345510894825
-211,82,4,800765006,0.02327662942336544
-208,89,7,800765579,0.02346570496415085
-206,91,2,800766672,0.023791970091427847
-194,56,-2,800774649,0.023254289877010188
-193,54,-5,800775183,0.023200113695315216
-195,50,-15,800776281,0.02305897985273866
-195,81,-4,800782577,0.023537638297381053
-195,80,-10,800783112,0.02357116526141171
-198,72,-8,800783670,0.023605961756647018
-209,60,3,800789781,0.02467153012035429
-187,57,2,800797392,0.023556576631873365
-190,66,-6,800797927,0.02351294733983839
-195,74,-15,800798488,0.023514033162591114
-202,83,-3,800803776,0.024575885829198934
-198,69,-4,800818374,0.025489691412817504
-200,69,0,800818910,0.02554475248790815
