gx,gy,gz,time,ang
-356,46,-309,710715291,0.005789655336646132
-416,50,-325,710720456,0.03670190460252741
-595,19,-361,710735090,0.15675944314377163
-600,21,-366,710735624,0.16122311953710755
-603,24,-366,710736177,0.1658619750976246
-596,26,-366,710736712,0.17030834273087683
-675,1,-326,710750072,0.2884072474076519
-673,-7,-315,710750607,0.29309491609865546
-667,1,-312,710751169,0.2979581950487711
-663,3,-313,710751704,0.3025675668085826
-602,25,-295,710765627,0.40981385646117857
-591,26,-292,710766177,0.4139646492086022
-581,16,-290,710766712,0.41793610831226735
-575,7,-290,710767271,0.4220530075766408
-545,14,-271,710775202,0.47613237181084167
-540,14,-266,710775737,0.4797235690813853
-532,14,-264,710776295,0.48340543753531956
-517,13,-260,710776830,0.48682049094891844
-528,-7,-237,710782908,0.5252940149003815
-530,-2,-227,710783445,0.5286530010654108
-503,-5,-170,710792606,0.5782461473643709
-498,-2,-167,710793191,0.5813639183002515
-496,12,-156,710794324,0.5872352801195347
-439,22,-86,710802640,0.6192344899506257
-437,18,-85,710803194,0.621358077488178
-425,33,-68,710804289,0.6252016608933024
-298,75,-20,710811459,0.6356183490633734
-292,77,-11,710811994,0.6363139563520848
-277,70,1,710813117,0.637462096151929
-127,96,54,710820148,0.628009722025572
-120,96,56,710820683,0.6272349888245017
-116,93,57,710821244,0.6263926966252417
-109,94,59,710821779,0.6255327241477534
-14,105,95,710827924,0.6063662458402898
-2,111,91,710828460,0.6046287012308648
57,111,120,710834136,0.5806484526544977
73,109,123,710835755,0.5734559383485839
102,119,147,710843651,0.5337917716659132
98,126,156,710844201,0.5310082437454019
103,130,165,710844736,0.5282215707844636
105,135,171,710845362,0.524907352589888
84,106,202,710850901,0.4956971248723808
82,99,200,710851458,0.4927892642049658
-21,101,222,710860644,0.454693311592965
-28,103,226,710861266,0.4521559776213607
-37,110,225,710862361,0.44781521305164856
-60,110,258,710870655,0.41537353850362596
-61,108,259,710871208,0.41324494651901933
-78,103,271,710872303,0.409186271099374
-63,107,287,710879205,0.3818935470453374
-73,105,288,710879740,0.37989039001137753
-73,104,280,710880833,0.3758840130653554
-18,120,279,710899630,0.29719846016278645
-18,126,276,710900178,0.2950668082709952
-23,128,271,710900713,0.2930469780785313
-29,131,263,710901272,0.29101587021292663
-43,109,208,710915621,0.2483268915369951
-45,108,206,710916177,0.24681190137754797
-47,110,201,710916712,0.2453859215678811
-51,111,196,710917263,0.2439663153102501
-83,119,165,710924219,0.23055488309106703
-84,124,161,710924754,0.22958881351474517
-89,124,157,710925312,0.2286346227584671
-93,116,136,710930454,0.22058164583121465
-153,110,63,710945079,0.21291343496249157
-149,106,61,710945614,0.21262628407008796
-148,98,67,710946177,0.21231550133012478
-147,96,67,710946712,0.2120129205955381
-205,99,3,710960112,0.21563138207140978
-213,102,-1,710960647,0.21584494946618196
-222,98,1,710961204,0.2161410854965473
-231,94,-2,710961739,0.21649359545743896
-300,48,-92,710975617,0.23878915034899154
-313,45,-93,710976175,0.23982943260692524
-324,41,-97,710976710,0.24091706372099872
-331,39,-99,710977260,0.2420956681734812
-411,51,-112,710984215,0.2658625327701268
-415,40,-104,710984750,0.26773126040932876
-417,37,-103,710985308,0.26969743368605925
-429,24,-123,710990509,0.28918602240425106
-432,30,-127,711005650,0.34808060146026004
-430,32,-120,711006195,0.35020267541337635
-374,24,-128,711014104,0.3746962357103941
-331,22,-140,711021158,0.3926196760866405
-314,24,-142,711021693,0.3938623588706849
-313,21,-154,711022786,0.39643902286191635
-324,15,-146,711030609,0.4162279707306772
-317,18,-146,711031167,0.4175984059456809
-312,13,-147,711031702,0.41887863220643323
-309,10,-147,711032261,0.42019483697357396
-273,3,-130,711037914,0.4302708855295355
-272,5,-127,711038450,0.43122235846724916
-246,2,-84,711047631,0.44249773188129676
-245,2,-83,711048243,0.4432490312935944
-242,7,-81,711049375,0.4445762918153468
-183,41,-25,711057643,0.44475118181535195
-171,44,-25,711058197,0.4446664492591822
-169,38,-18,711059284,0.4444405763652842
-130,72,3,711066462,0.43788719431316403
-126,72,4,711066997,0.4373654647694098
-106,75,22,711068108,0.43586005066830913
-10,73,49,711075622,0.41431159626608566
-6,74,57,711076172,0.4126805110944458
-2,70,62,711076706,0.4110557228513369
6,68,63,711077265,0.40928918972923783
0,68,70,711082926,0.3916973358362403
2,60,70,711083462,0.39002233483500864
-29,59,71,711090068,0.3723183858168006
-26,61,70,711090602,0.37086637391713284
-32,58,70,711091698,0.3679863693744424
-83,60,85,711099589,0.3525305398259459
-94,67,83,711100167,0.3514945164052865
-101,69,84,711100746,0.35051177331172256
-208,57,105,711109635,0.3488789446627016
-218,50,110,711110196,0.348875648787893
-218,33,109,711111284,0.3489126500283076
-276,32,140,711119378,0.35578656207617104
-281,30,145,711119913,0.3563147385905597
-283,28,156,711120450,0.3568516323755213
-247,27,184,711125455,0.35914031948425273
-102,89,226,711140085,0.33532680754398353
-95,88,231,711140620,0.3345416476266688
-87,86,235,711141174,0.33367576253561887
-86,96,240,711141709,0.3328339387304022
-25,108,254,711155068,0.3041173477950625
-20,110,252,711155603,0.30313932467157745
-16,110,253,711156165,0.30209994436100585
-16,109,256,711156700,0.3011357379199477
35,112,218,711170623,0.2700000084696277
32,110,217,711171173,0.2690690972211195
25,108,218,711171707,0.2682434490141895
16,106,220,711172267,0.26747853829093365
-23,104,194,711179222,0.2620061550864367
-28,106,199,711179757,0.2617582359277431
-29,105,201,711180307,0.2615382633798088
-74,97,192,711185450,0.262793071576237
-212,51,153,711200621,0.2900934520989503
-221,55,152,711201171,0.29117089677193975
-225,57,153,711201706,0.29224948921405863
-233,50,155,711202265,0.2934440337523263
-302,55,140,711209220,0.31258963685410973
-308,52,137,711209755,0.3140840049308802
-311,52,133,711210305,0.31561561286331996
-341,69,103,711215452,0.32996185028673725
-381,16,-11,711230622,0.36328765031868465
-376,17,-12,711231178,0.3645208456962117
-379,14,-15,711231713,0.3657169948799825
-378,13,-15,711232263,0.36694405999788077
-403,13,-25,711239218,0.3842672555118916
-405,13,-30,711239753,0.38561630143868925
-405,16,-36,711240304,0.3869783594800172
-352,0,-45,711245512,0.396312125750249
-265,45,-67,711259863,0.4034072859527746
-263,42,-74,711260427,0.40366611309603645
-259,49,-76,711261524,0.4040857641911886
-193,70,-80,711269622,0.3997208868525631
-191,81,-79,711270171,0.3994090171619265
-195,88,-81,711270706,0.3991192190002824
-195,92,-83,711271265,0.39880490073573155
-144,84,-106,711277460,0.3902402838476321
-127,77,-150,711285229,0.37567121650891117
-123,76,-147,711285764,0.3746646426581504
-123,77,-148,711286323,0.37361004180539664
-125,76,-151,711286858,0.37260771569189033
-148,73,-181,711292445,0.3630428136367739
-224,50,-206,711300223,0.3581661348066684
-237,50,-205,711300758,0.35799114612159305
-242,52,-203,711301308,0.3578619414004801
-248,55,-205,711301843,0.357781499585112
-311,55,-209,711307460,0.36247934731601594
-372,35,-196,711315205,0.37833968223990055
-380,30,-192,711315740,0.37958267669507917
-377,28,-191,711316299,0.38086985996975553
-373,35,-190,711316834,0.38207201096090637
-409,34,-186,711322915,0.399634967220541
-411,37,-191,711323451,0.4012377386784064
-418,31,-182,711329125,0.4193975557353544
-438,40,-171,711330755,0.425227005716956
-450,31,-170,711338643,0.45570026917303796
-451,24,-171,711339192,0.457875646419487
-455,21,-167,711339726,0.46003252337895734
-455,21,-163,711340352,0.46256693647531766
-402,54,-154,711345925,0.480479786751472
-396,54,-157,711346461,0.4821725199965113
-287,54,-113,711357285,0.4987927033815335
-217,75,-62,711365621,0.5023906323178313
-211,70,-56,711366178,0.5025870899076573
-192,59,-58,711367272,0.5026878649008659
-141,93,-8,711375138,0.4964222002440228
-135,89,-8,711375672,0.49595324577243677
-123,88,-8,711376232,0.495361179929569
-118,85,-11,711376767,0.49476007127867294
-96,87,12,711382911,0.4856498265724671
-101,92,14,711383447,0.4848892135338319
-18,115,44,711392634,0.4596838369321122
-20,115,47,711393252,0.4580086871637187
-16,116,54,711394379,0.4548786799727541
-1,101,78,711402639,0.4302501121779917
-2,107,78,711403195,0.42860215596350626
0,112,86,711404281,0.4253403072698465
9,121,75,711411463,0.40281265203618344
-7,123,73,711411998,0.40127072483757736
-8,114,68,711413108,0.3981087968078929
-9,115,80,711420621,0.3769613713793834
-11,105,81,711421171,0.3754500550294496
-15,110,82,711421706,0.3740101439944035
-20,114,79,711422265,0.3725455660848908
-74,89,47,711427926,0.36252123273584913
-77,82,41,711428462,0.361603195162293
-95,94,45,711434128,0.3533983615441382
-101,108,33,711435757,0.35115003135808837
-89,77,27,711443622,0.3391962318130974
-85,82,24,711444180,0.3383108547252178
-83,95,14,711444715,0.3374301352103397
-82,97,10,711445276,0.3364941207530384
-73,80,23,711450903,0.32657137346234605
-71,84,15,711451440,0.32560105755516117
-114,58,18,711460619,0.31538877030369605
-102,62,8,711461225,0.3145941077447021
-122,59,2,711462339,0.31346495680731196
-214,44,2,711470656,0.3167972840214212
-215,43,1,711471211,0.3170288552946678
-218,48,0,711472306,0.31752499759748976
-265,42,-9,711478537,0.3247485068140129
-306,60,-16,711486174,0.33803190874148353
-314,58,-12,711486708,0.3390308804118797
-313,39,-14,711487801,0.3410910980155024
