gx,gy,gz,del_t,ang
-174,70,-3,0.0001365717631357141
-148,102,-2,0.00532116916525673
-154,106,-7,0.005767866015646594
-134,135,-4,0.014362004171276543
-131,136,-4,0.01512774201864559
-139,133,-4,0.023426059409835925
-160,117,-4,0.030996456104920286
-163,122,-3,0.031503392888877275
-165,122,-3,0.031981282648798036
-160,113,-5,0.03244871719491295
-176,94,2,0.03503503899747698
-173,92,-1,0.035292409784961794
-178,82,0,0.03719416784747068
-174,75,-4,0.03733120574096698
-172,75,-7,0.03762270566773592
-193,68,-5,0.03749231063449456
-200,68,-9,0.037443979499431346
-200,68,-8,0.03739448393967812
-193,61,-7,0.03687561721441546
-193,48,-9,0.036737851504608364
-207,42,-10,0.036224873695796515
-220,48,-2,0.03402054481450473
-203,49,-9,0.03346136337188791
-215,24,6,0.027436717888602736
-215,23,8,0.02702030897289317
-214,22,8,0.026564796835342762
-223,24,3,0.02611021899520586
-241,6,1,0.019457446800837313
-241,7,1,0.018825561707408216
-243,8,6,0.008578721338197008
-236,4,6,0.008031177452894767
-241,9,3,0.007046245783656883
-205,49,-10,0.004413380523257792
-203,49,-11,0.004256157107946003
-196,54,-10,0.004150996894812286
-155,116,-20,0.008686965062030764
-132,149,0,0.021858957330331743
-131,149,2,0.022683219654114878
-127,143,-1,0.023512617050796734
-124,135,-11,0.02426859065452101
-143,126,-6,0.03138653097298639
-133,119,-7,0.03200450275113129
-130,128,-7,0.040358327742832135
-139,128,-10,0.04100621808483297
-140,131,2,0.049123398309801856
-140,124,-15,0.05730651986630516
-140,128,-6,0.057950632254632234
-139,133,0,0.05866460297598492
-139,129,5,0.05932223857043119
-135,127,-14,0.06765512062662948
-154,131,-7,0.07781329776007367
-152,123,-7,0.07838878319655682
-150,119,-10,0.07900215553127528
-150,120,-8,0.07956810867059877
-154,122,0,0.08411700870589374
-151,116,-1,0.08463077163091373
-155,127,-18,0.0942918053111702
-151,119,-15,0.09488330268774911
-150,110,-2,0.09589906564871932
-150,113,-10,0.10362120611577273
-151,116,-13,0.10415473298975857
-153,124,-7,0.10528031125359354
-130,121,-6,0.11544064970218089
-140,115,-11,0.11601805962643466
-148,110,-10,0.11650795786230128
-143,112,-16,0.12216912244155258
-208,42,1,0.11861185637134769
-205,46,2,0.1183890515548232
-203,54,6,0.11823101057195384
-202,59,8,0.1181162044436555
