gx,gy,gz,time,ang
-142,4,43,413346716,0.00855072494704688
-75,31,42,413355914,0.025631687487411417
-66,34,35,413356537,0.026869756671829805
-58,23,26,413357633,0.02918031902612135
-25,55,26,413365908,0.049254971117270105
-22,55,25,413366463,0.0506579576595546
-21,58,25,413366998,0.05201386297091281
-19,61,23,413367549,0.053416708585137126
2,110,30,413375914,0.07681794725584735
35,132,39,413382587,0.09968732388809019
33,131,41,413383122,0.10153803241646737
30,134,42,413383657,0.10336988697664654
23,139,44,413384191,0.10515010161579601
10,126,53,413390186,0.12433071506218145
9,119,53,413390723,0.12604806750339856
-51,99,50,413399519,0.14623713586797496
-62,93,49,413400084,0.14744027616220282
-60,97,52,413400695,0.14876972219161144
-53,98,48,413401230,0.14998076873096783
-85,62,37,413407183,0.16017295312172855
-90,59,38,413407738,0.16108405762410125
-140,25,36,413416901,0.1692072503102005
-144,18,36,413417457,0.1696760702781377
-136,21,38,413418553,0.17074266372900762
-161,-9,36,413426636,0.1758428026214412
-162,-8,36,413427171,0.17619244892043676
-158,-8,39,413427726,0.17659792228787716
-158,-5,42,413428261,0.1769979889706075
-174,-27,52,413435910,0.1818776222147539
-192,-35,51,413442562,0.18517076873629407
-195,-32,53,413443097,0.1854455542456439
-194,-32,51,413443635,0.18572746482644936
-196,-37,53,413444170,0.18601051772935323
-193,-33,41,413450183,0.18923020530677934
-191,-27,41,413450719,0.18954430636975428
-249,-19,46,413458552,0.18851598436704584
-251,-9,44,413459087,0.18843847527637617
-251,4,45,413459624,0.18833800918268012
-251,12,47,413460173,0.1882270274940876
-255,-5,53,413466173,0.18769251622136812
-255,-10,49,413466709,0.18767018997982268
-228,-27,66,413475915,0.19306643481200322
-229,-28,69,413476514,0.193476828802827
-235,-20,64,413477610,0.19407072305251005
-254,15,69,413485901,0.19586984105421196
-245,21,72,413486457,0.19607190602411323
-236,27,75,413486992,0.1963145214148641
-191,31,52,413494921,0.2020783828462613
-164,36,45,413502898,0.20946177314778927
-163,32,45,413503456,0.21000018886808008
-163,29,47,413503991,0.21053703946005659
-132,46,50,413509728,0.21762810843648833
-106,103,42,413518870,0.22750161819175835
-99,102,41,413519425,0.22815607005493926
-92,100,42,413519960,0.22883998588505006
-89,96,45,413520567,0.22966851817200398
-92,86,36,413526170,0.2370854213549696
-97,85,34,413526727,0.2377922597531276
-110,112,35,413535915,0.2470740973023404
-105,110,28,413536538,0.2477216302739868
-104,112,24,413537626,0.24881971383316792
-111,102,52,413545897,0.2591563595613867
-105,100,51,413546455,0.2599007479933677
-101,101,46,413546990,0.26061338874385936
-103,100,44,413547550,0.2613398761857685
-163,66,59,413555905,0.26884826167082054
-191,22,59,413562556,0.27405266402934314
-194,21,68,413563091,0.2745069693592814
-199,20,76,413563629,0.2749782211653333
-208,20,82,413564164,0.2754253552700149
-250,19,77,413570176,0.2775864636148995
-256,20,69,413570713,0.2777178028814731
-288,-18,70,413579511,0.279272723332265
-287,-19,68,413580063,0.2794148755822399
-286,-20,62,413580674,0.2795496986827503
-290,-20,62,413581209,0.27965228077608223
-314,-52,71,413587173,0.28154193674481154
-314,-55,68,413587739,0.2817662668848877
-357,-72,66,413596894,0.28446388605622275
-349,-67,68,413597449,0.28476791476509433
-343,-62,58,413598544,0.28528869813795904
-334,-5,84,413606901,0.28993631928859676
-335,0,84,413607459,0.290286523458836
-333,5,82,413607994,0.2906035107418702
-324,42,73,413613709,0.2924553710547848
-228,3,41,413628885,0.30538760593344055
-227,9,42,413629439,0.30585705775656824
-227,4,44,413629974,0.3063457259014216
-225,5,48,413630526,0.3068782287025435
-83,63,42,413649880,0.32942221940703936
-81,60,42,413650435,0.33011873234181727
-78,65,42,413650970,0.33078105567512944
-73,69,39,413651530,0.33145626527233485
-68,56,6,413663149,0.3429771069767937
-69,60,5,413663713,0.3435350287339466
-74,62,1,413664248,0.3440155719747917
-74,67,2,413664810,0.34450820877993854
-71,94,27,413671256,0.3510292636362
-78,92,20,413671873,0.351598198284827
-92,72,19,413680885,0.3603461361581505
-99,69,17,413681441,0.3608653853737554
-108,59,17,413681975,0.361364441415152
-118,52,13,413682528,0.3618407652535474
-136,32,-3,413690913,0.36759455893424986
-149,-9,14,413697565,0.3746966002998615
-148,-15,12,413698100,0.3752869768540193
-147,-19,4,413698638,0.37585430206314124
-150,-17,-3,413699173,0.3763581637645215
-180,8,2,413705187,0.3798565466519097
-186,10,3,413705723,0.3801430706122226
-234,96,19,413713557,0.37779095828846687
-239,97,25,413714092,0.3776447901132758
-241,103,27,413714628,0.37747913560991947
-237,104,29,413715194,0.37733091193951157
-249,74,20,413720169,0.37618813391793254
-251,68,14,413720725,0.3760427698958899
-226,49,3,413728572,0.37563323450368824
-231,46,-2,413729107,0.3755697814962971
-235,41,0,413729669,0.37552016793683163
-227,32,4,413730219,0.3755655482178298
-179,44,-12,413735184,0.37641020926721375
-179,41,-7,413735720,0.3765436757708727
-116,37,-20,413743556,0.38133751554952183
-112,31,-22,413744090,0.3816999363088333
-115,31,-20,413744627,0.3820647058170253
-118,37,-18,413745175,0.38241247438874326
-64,65,-38,413751174,0.38632440202875706
-66,73,-41,413751710,0.38663253746710297
-14,95,-23,413760916,0.3967723383542419
-13,99,-22,413761518,0.3974767426187881
-20,96,-21,413762610,0.3987344714879823
4,62,-43,413770902,0.41087351186138127
1,58,-42,413771459,0.4117354531824401
4,53,-42,413771994,0.4126018006819109
2,54,-44,413772545,0.413473771218787
-28,38,-52,413780910,0.42499505498462725
-56,30,-53,413787582,0.43309118815931347
-57,26,-53,413788117,0.43376535694283647
-55,18,-55,413788652,0.4344728738470923
-57,12,-57,413789187,0.43518401053781336
-62,28,-48,413795182,0.4427912326924191
-69,35,-43,413795719,0.4434408561899447
-170,155,-25,413804515,0.43877419302588977
-173,156,-35,413805064,0.4384254241016948
-182,161,-38,413805649,0.43796342524885545
-184,165,-34,413806184,0.43753437051487143
-216,132,-48,413812178,0.43119220228291844
-209,129,-48,413812743,0.43065114067603927
-197,115,-29,413821899,0.4253964497866303
-199,111,-36,413822453,0.42504962538746793
-205,114,-47,413823547,0.4241716894280242
-134,87,-42,413831631,0.4259205946810451
-137,90,-42,413832166,0.4260143543454784
-139,94,-44,413832724,0.42607779177372046
-134,95,-46,413833258,0.4261583469714758
-92,63,-64,413840907,0.43155446926170055
-65,41,-92,413847558,0.43818829381511404
-61,48,-93,413848093,0.43874216567603863
-51,53,-93,413848630,0.4393504652922565
-42,53,-94,413849165,0.44001446696669355
-30,50,-96,413855179,0.44864085784951685
-28,50,-97,413855716,0.44944429673698855
-28,110,-64,413864513,0.4619697198112162
-29,102,-65,413865066,0.46280079528160045
-30,104,-66,413865659,0.46367788470273574
-28,109,-64,413866194,0.46447832636275405
-68,123,-51,413871170,0.46949412054379047
-71,122,-56,413871724,0.4700293460299544
-69,145,-56,413880906,0.47847684824337683
-59,143,-61,413881518,0.4791395186860633
-52,158,-56,413882604,0.4803809435988945
-58,147,-45,413890896,0.4904967828855765
-49,138,-46,413891453,0.4912857164205273
-37,134,-48,413891988,0.49213745271731424
-37,108,-55,413899916,0.5055871368361632
-39,79,-54,413906571,0.5177900634491831
-41,78,-49,413907106,0.5187800617208409
-44,80,-50,413907668,0.5197908189320971
-37,82,-53,413908203,0.5207955621998619
-64,73,-47,413915892,0.5328963442621713
-65,79,-45,413916446,0.533760107857327
-58,81,-49,413916981,0.5346351468808268
-52,79,-54,413917565,0.5356330429041097
-97,67,-45,413923171,0.5421325736437979
-98,65,-43,413923707,0.5427579335846083
-112,73,-37,413929866,0.5487177659615292
-142,51,-35,413937892,0.5537938766861519
-146,43,-37,413938450,0.5541284278203065
-136,35,-35,413938985,0.5545456402024109
-133,34,-31,413939544,0.5550164431936839
-204,56,-18,413945174,0.553862135836026
-209,57,-22,413945710,0.553703988204561
-258,44,-10,413953500,0.5466763555586844
-256,46,-13,413954035,0.5462004164914007
-250,55,-17,413954596,0.5457220000486832
-253,64,-15,413955156,0.5452057157261121
-264,38,-16,413961195,0.5392779713896578
-258,38,-12,413961731,0.5388076132106066
-196,64,7,413970941,0.5386019216219735
-194,66,17,413971562,0.5386251316886893
